lane_key,lane,pickup_city,pickup_state,pickup_state_name,delivery_city,delivery_state,delivery_state_name
ec8e21c9486ae6d61238f9ef17ab4ffd,"Beecher,IL -> Plant City,FL",Beecher,IL,Illinois,Plant City,FL,Florida
3ae9ee066b779cde84c6747b7e8e7a86,"Newark,NJ -> Rogers,MN",Newark,NJ,New Jersey,Rogers,MN,Minnesota
7f42784667466a00ea504fa2e92cf74a,"Fort Collins,CO -> Sparks,NV",Fort Collins,CO,Colorado,Sparks,NV,Nevada
f5e2f413554c182059ed312f495c7057,"Statesboro,GA -> Bronx,NY",Statesboro,GA,Georgia,Bronx,NY,New York
f11ca3c38d45c5571d9a914222e3de1b,"McCook,NE -> Davenport,IA",McCook,NE,Nebraska,Davenport,IA,Iowa
07da1150deeb0c6438c6067948e2a57e,"Houston,TX -> Hattiesburg,MS",Houston,TX,Texas,Hattiesburg,MS,Mississippi
28fcb6277d4f378dc912bb7012dd7dc9,"Paris,TX -> Pryor,OK",Paris,TX,Texas,Pryor,OK,Oklahoma
aeee7f784dad1a033726802a0005faea,"Prattville,AL -> Conover,NC",Prattville,AL,Alabama,Conover,NC,North Carolina
b921bce61831df6a3b79c4c5ac37f34e,"Jacksonville,FL -> Madisonville,LA",Jacksonville,FL,Florida,Madisonville,LA,Louisiana
1d4e0e81241e86548d481d6e27b904a0,"Dallas,TX -> Muskogee,OK",Dallas,TX,Texas,Muskogee,OK,Oklahoma
5938f299219d4c44cc6524ee3197baa9,"Newark,NJ -> Pittsburgh,PA",Newark,NJ,New Jersey,Pittsburgh,PA,Pennsylvania
2d2729e2e910f6afd551881098c8994e,"Newark,NJ -> Montgomery,AL",Newark,NJ,New Jersey,Montgomery,AL,Alabama
59cb51d16ce9a8b8945ff44340f00130,"Cranbury Township,NJ -> New Paltz,NY",Cranbury Township,NJ,New Jersey,New Paltz,NY,New York
023c537675639c240e35207500d230ea,"Monroe,WI -> Sheboygan,WI",Monroe,WI,Wisconsin,Sheboygan,WI,Wisconsin
ba465b9c5f965d13a384ac8801d44bfc,"Fort Collins,CO -> Logan,UT",Fort Collins,CO,Colorado,Logan,UT,Utah
5c6baf1fc83395a6ef7054ffc30cc0d2,"Kutztown,PA -> Ephrata,PA",Kutztown,PA,Pennsylvania,Ephrata,PA,Pennsylvania
540d5fc94283e225ab0ecb3ffab11417,"Hauppauge,NY -> Plant City,FL",Hauppauge,NY,New York,Plant City,FL,Florida
1635b7ec8eabad21b10612533b5d1689,"Baldwinsville,NY -> Auburn,MA",Baldwinsville,NY,New York,Auburn,MA,Massachusetts
18ebbe32a7cace0cec13e1ac27e59e52,"Statesboro,GA -> Philadelphia,PA",Statesboro,GA,Georgia,Philadelphia,PA,Pennsylvania
d40e05073196a869af4ea535515be021,"Denver,CO -> Charleston,TN",Denver,CO,Colorado,Charleston,TN,Tennessee
4ca642d9b766575b93b2334e3f2e6654,"Burt,NY -> Pennsauken Township,NJ",Burt,NY,New York,Pennsauken Township,NJ,New Jersey
ef9a52a6917777e8fbbd083762884a9b,"Downey,ID -> Elmira,MI",Downey,ID,Idaho,Elmira,MI,Michigan
6748dc4c8b0b480d40bcb38f0034777c,"Granite City,IL -> Romulus,MI",Granite City,IL,Illinois,Romulus,MI,Michigan
fd545449ae7e20a80b8aa9868ac337e5,"Newark,NJ -> Cedar Rapids,IA",Newark,NJ,New Jersey,Cedar Rapids,IA,Iowa
b47a6907d400177868c668530264d715,"Granite City,IL -> Vicksburg,MS",Granite City,IL,Illinois,Vicksburg,MS,Mississippi
60fa87f450d21bcc722b34986830cbf7,"Tracy,CA -> Tracy,CA",Tracy,CA,California,Tracy,CA,California
bec072b3cb53a4aaadbd23a057dd5a65,"Reading,PA -> Brook Park,OH",Reading,PA,Pennsylvania,Brook Park,OH,Ohio
60fb65b5d0ac1b55f950324c945f5569,"Newark,NJ -> Wilkes-Barre,PA",Newark,NJ,New Jersey,Wilkes-Barre,PA,Pennsylvania
755fe35f79fe73b70f0f5badc8780cf1,"Latrobe,PA -> Syracuse,NY",Latrobe,PA,Pennsylvania,Syracuse,NY,New York
e647dc9ebcd3a2803bb66e706e0d345e,"Fort Collins,CO -> Alexandria,LA",Fort Collins,CO,Colorado,Alexandria,LA,Louisiana
a11898df94d72b6a359d283b74715666,"Granite City,IL -> Sheboygan,WI",Granite City,IL,Illinois,Sheboygan,WI,Wisconsin
6e8b2bcb82eb790b3596b12c43fafdf5,"Houston,TX -> Austin,TX",Houston,TX,Texas,Austin,TX,Texas
68c591b59036a7c2855a37f0201c32fd,"Avon,MA -> Westfield,MA",Avon,MA,Massachusetts,Westfield,MA,Massachusetts
17722fc10c4b51638ac18224e260a877,"Maricopa,AZ -> Methuen,MA",Maricopa,AZ,Arizona,Methuen,MA,Massachusetts
