carrier_key,carrier_name,vip_carrier
3de7ef774931ca9fb4c6cbab6144008c,Carrier 342587,false
ebcba4a5957f0e4d97a9fe49a3833e2c,Carrier 117599,false
746191ce68940fa0f1b8a7b640be8bd7,Carrier 1693588,false
adce7e391c1c981120fdf2f7b1db42b8,Carrier 132245,false
c42a58fbeb42e131647f81bf3af65c43,Carrier 1564828,false
505905236ea5261b8a8850ae43e17c54,Carrier 1396474,false
41f6a17723bff2053df2cbba1cdc6f7e,Carrier 1629986,false
6dfe012834cbb86ce42d11ebd56691ad,Carrier 112737,false
ccebd9f8f50e577a93663d5b9dde2d97,Carrier 102506,false
a215153723e4ae3c7533cf3743851276,Carrier 804095,false
413aa7c60e42c8b3b7c77b84b1eed132,Carrier 1538656,false
a797f64eef140fe3047d02be3f91cd0c,Carrier 1333637,false
dbfd4aeef7c3f0c690b716fb1ab5ffc9,Carrier 1693531,false
52cb5d2ea6f3f0c39a6bf885a452cb44,Carrier 44275,false
5da5b2c39b7e1c7dfce2eb9c450633e2,Carrier 1541941,false
3403d3df3e2857b5ba204e5c1aff44de,Carrier 1695622,false
1c5c68b1aff27e7165abaa53de1020a9,Carrier 53313,false
961d30141d704a9021212793195f1be0,Carrier 1395917,false
d978128e18279c0078e9104c12f60c3c,Carrier 62084,false
e784b42e00a2420b29d2443753507ee4,Carrier 24871,false
4cb3b4d668228fd33ab86d430624847c,Carrier 1080621,false
6bc1fcb93e749c2b042544cdf353bea8,Carrier 1693590,false
127a66adc0b8e3a734db995f9245b8a1,Carrier 1533562,false
a8096b038ec177659fe5199f7540988f,Carrier 74294,false
6c33ca21087b6d5145ef6e4fb91861e1,Carrier 922672,false
2965becd7eee36cf3a85528cd0ad976c,Carrier 257959,false
2abf4c03b27d430823aeb875e8462e62,Carrier 1284276,false
dc250cac44e557924f0455953217f7c1,Carrier 1695178,false
ae47945a353e99dbf1195271d4adcecd,Carrier 770385,false
a2a915035ad1b660b24f20cafcebc9ed,Carrier 1064075,false
fd7ed6ea645d2a73a0a53ee8faa51450,Carrier 367380,false
da28c9075fbf5266a144566343797e7d,Carrier 1556250,false
a158dbb3e262b9829605f7e4751ae770,Carrier 186649,false
404679a27507bf118f8c6409cdedeb6d,Carrier 1215449,false
03534d9c5c7ef491af17470e399e1ca4,Carrier 1314803,false
ced8cba3f2b6e298a65f9fcba584a487,Carrier 68695,false
25ca4c3a81fd5142ae6768ed1d24bfcb,Carrier 956851,false
c0ceb9d4cc8b0ad6c290be33a29ac9c6,Carrier 676076,false
b5a6bcda4677df7f6c71230fa008cca1,Carrier 1439150,false
bba3efa66fe0e07b1c846a94b4524534,Carrier 1603665,false
cca84f7b0d4aac3a98518c11b2d8a85b,Carrier 1693395,false
f0bde6f8192f97d076674963dc52d30d,Carrier 111635,false
e741227cdd74d9af63f84ef6476570e5,Carrier 5046,false
4c61d04029e951c06d94a249822116cf,Carrier 994003,false
dea6ad6a7787e0b43af1a4adfd368c20,Carrier 1247402,false
931c82bd0d8abaa3d8e98343dacbb20f,Carrier 1159765,false
2fc287ca55d2edb9a6c603b484bf5322,Carrier 807783,false
89f7d765221a2671e096c5f9853e4251,Carrier 54491,false
062227b950c45cba294a9b7dabebba1b,Carrier 1695276,false
64b5ab943e31c60af262422610f115b9,Carrier 1358580,false
44f240426efce874f2077861e3c6e430,Carrier 1695765,false
0c400a4ec0af285c4985306ac52cfee5,Carrier 721815,false
600f0fe42cf94162c3e95bbcf1a71219,Carrier 1239696,false
6af29f36571259389752e93bea9a1729,Carrier 90912,false
c9279a8a4102a13674f771938a598df3,Carrier 110438,false
0a7e36314640d1ee37dae8763ec082a3,Carrier 7364,false
0789abf937ec9a5d74214a41bebbfa9e,Carrier 718215,false
fa79312f589aa5d5faade62689e05391,Carrier 2058,false
bd1515cf3a4564b3b7de6f941358d97f,Carrier 1113714,false
d04895794d0e5ce697d4f62a955b78dc,Carrier 785331,false
41aa8242623605d662c398f4b7c4785f,Carrier 1204805,false
